0,Wapta Falls,Yoho National Park,easy,4.3,5.1 km,135 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Walking, Forest, River, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/wapta-falls?ref=result-card
1,Stanley Park Seawall Trail,Stanley Park,easy,4.5,9.3 km,69 m,Loop,", Dogs on leash, Wheelchair friendly, Kid friendly, Stroller friendly, Nature trips, Road biking, Walking, Bird watching, Running, Beach, Forest, Lake, Paved, River, Views, Wildflowers, City walk",https://www.alltrails.com/trail/canada/british-columbia/stanley-park-seawall-trail?ref=result-card
2,Takakkaw Falls Trail,Yoho National Park,easy,4.3,1.3 km,37 m,Out &amp; back,", Dogs on leash, Wheelchair friendly, Kid friendly, Stroller friendly, Hiking, Nature trips, Walking, Bird watching, Paved, River, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/takakkaw-falls-trail?ref=result-card
3,Wild Pacific Trail: Lighthouse Loop,"Ucluelet, British Columbia",easy,4.4,2.9 km,68 m,Loop,", Dogs on leash, Kid friendly, Stroller friendly, Hiking, Walking, Running, Beach, Partially paved, Views",https://www.alltrails.com/trail/canada/british-columbia/ucluelets-wild-pacific-trail-lighthouse-loop?ref=result-card
4,Whistler Trainwreck and Millar Creek Trail,"Whistler, British Columbia",easy,4.2,5.8 km,109 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Mountain biking, Nature trips, Walking, Forest, River, Views, Waterfall, Wildflowers, Wildlife, Rocky, Historic site",https://www.alltrails.com/trail/canada/british-columbia/whistler-trainwreck-trail?ref=result-card
5,East Canyon Trail to Lower Gold Creek Falls Loop,Golden Ears Provincial Park,easy,4.3,5.8 km,165 m,Loop,", Dogs on leash, Kid friendly, Hiking, Forest, River, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/east-canyon-to-lower-falls-loop-trail?ref=result-card
6,"Maple, Valley and Shore Pine Trail",Lighthouse Park,easy,4.4,3.9 km,186 m,Loop,", Kid friendly, Hiking, Nature trips, Walking, Running, Beach, Dog friendly, Forest, Views, Wildlife, Rocky",https://www.alltrails.com/trail/canada/british-columbia/maple-valley-and-shore-pine-trail?ref=result-card
7,Lower Gold Creek Falls Trail,Golden Ears Provincial Park,easy,4,5.5 km,92 m,Out &amp; back,", Dogs on leash, Kid friendly, Camping, Hiking, Nature trips, Bird watching, Running, Beach, Forest, Lake, River, Views, Waterfall, Wildflowers, Wildlife, Muddy",https://www.alltrails.com/trail/canada/british-columbia/lower-gold-creek-falls-trail?ref=result-card
8,Emerald Lake Loop,Yoho National Park,easy,4.3,5.1 km,115 m,Loop,", Dogs on leash, Kid friendly, Hiking, Nature trips, Paddle sports, Walking, Running, Forest, Lake, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/emerald-lake-loop?ref=result-card
9,Teapot Hill,Cultus Lake Provincial Park,easy,4.2,4.8 km,265 m,Out &amp; back,", Dogs on leash, Kid friendly, Hiking, Walking, Forest, River, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/teapot-hill?ref=result-card
