ID,Name,Location,Difficulty,Rating,Length,Gain,Route,Keywords,Link,img1,img2,img3
wapta-falls,Wapta Falls,Yoho National Park,easy,4.3,5.1,135,Out & Back,"Dogs on leash, Kid friendly, Hiking, Walking, Forest, River, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/wapta-falls?ref=result-card,wapta-falls-0.jpg,wapta-falls-1.jpg,wapta-falls-2.jpg
stanley-park-seawall-trail,Stanley Park Seawall Trail,Stanley Park,easy,4.5,9.3,69,Loop,"Dogs on leash, Wheelchair friendly, Kid friendly, Stroller friendly, Nature trips, Road biking, Walking, Bird watching, Running, Beach, Forest, Lake, Paved, River, Views, Wildflowers, City walk",https://www.alltrails.com/trail/canada/british-columbia/stanley-park-seawall-trail?ref=result-card,stanley-park-seawall-trail-0.jpg,stanley-park-seawall-trail-1.jpg,stanley-park-seawall-trail-2.jpg
takakkaw-falls-trail,Takakkaw Falls Trail,Yoho National Park,easy,4.3,1.3,37,Out & Back,"Dogs on leash, Wheelchair friendly, Kid friendly, Stroller friendly, Hiking, Nature trips, Walking, Bird watching, Paved, River, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/takakkaw-falls-trail?ref=result-card,takakkaw-falls-trail-0.jpg,takakkaw-falls-trail-1.jpg,takakkaw-falls-trail-2.jpg
ucluelets-wild-pacific-trail-lighthouse-loop,Wild Pacific Trail: Lighthouse Loop,"Ucluelet, British Columbia",easy,4.4,2.9,68,Loop,"Dogs on leash, Kid friendly, Stroller friendly, Hiking, Walking, Running, Beach, Partially paved, Views",https://www.alltrails.com/trail/canada/british-columbia/ucluelets-wild-pacific-trail-lighthouse-loop?ref=result-card,ucluelets-wild-pacific-trail-lighthouse-loop-0.jpg,ucluelets-wild-pacific-trail-lighthouse-loop-1.jpg,ucluelets-wild-pacific-trail-lighthouse-loop-2.jpg
whistler-trainwreck-trail,Whistler Trainwreck and Millar Creek Trail,"Whistler, British Columbia",easy,4.2,5.8,109,Out & Back,"Dogs on leash, Kid friendly, Hiking, Mountain biking, Nature trips, Walking, Forest, River, Views, Waterfall, Wildflowers, Wildlife, Rocky, Historic site",https://www.alltrails.com/trail/canada/british-columbia/whistler-trainwreck-trail?ref=result-card,whistler-trainwreck-trail-0.jpg,whistler-trainwreck-trail-1.jpg,whistler-trainwreck-trail-2.jpg
east-canyon-to-lower-falls-loop-trail,East Canyon Trail to Lower Gold Creek Falls Loop,Golden Ears Provincial Park,easy,4.3,5.8,165,Loop,"Dogs on leash, Kid friendly, Hiking, Forest, River, Views, Waterfall, Wildflowers, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/east-canyon-to-lower-falls-loop-trail?ref=result-card,east-canyon-to-lower-falls-loop-trail-0.jpg,east-canyon-to-lower-falls-loop-trail-1.jpg,east-canyon-to-lower-falls-loop-trail-2.jpg
maple-valley-and-shore-pine-trail,"Maple, Valley and Shore Pine Trail",Lighthouse Park,easy,4.4,3.9,186,Loop,"Kid friendly, Hiking, Nature trips, Walking, Running, Beach, Dog friendly, Forest, Views, Wildlife, Rocky",https://www.alltrails.com/trail/canada/british-columbia/maple-valley-and-shore-pine-trail?ref=result-card,maple-valley-and-shore-pine-trail-0.jpg,maple-valley-and-shore-pine-trail-1.jpg,maple-valley-and-shore-pine-trail-2.jpg
lower-gold-creek-falls-trail,Lower Gold Creek Falls Trail,Golden Ears Provincial Park,easy,4,5.5,92,Out & Back,"Dogs on leash, Kid friendly, Camping, Hiking, Nature trips, Bird watching, Running, Beach, Forest, Lake, River, Views, Waterfall, Wildflowers, Wildlife, Muddy",https://www.alltrails.com/trail/canada/british-columbia/lower-gold-creek-falls-trail?ref=result-card,lower-gold-creek-falls-trail-0.jpg,lower-gold-creek-falls-trail-1.jpg,lower-gold-creek-falls-trail-2.jpg
emerald-lake-loop,Emerald Lake Loop,Yoho National Park,easy,4.3,5.1,115,Loop,"Dogs on leash, Kid friendly, Hiking, Nature trips, Paddle sports, Walking, Running, Forest, Lake, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/emerald-lake-loop?ref=result-card,emerald-lake-loop-0.jpg,emerald-lake-loop-1.jpg,emerald-lake-loop-2.jpg
teapot-hill,Teapot Hill,Cultus Lake Provincial Park,easy,4.2,4.8,265,Out & Back,"Dogs on leash, Kid friendly, Hiking, Walking, Forest, River, Views, Wildlife",https://www.alltrails.com/trail/canada/british-columbia/teapot-hill?ref=result-card,teapot-hill-0.jpg,teapot-hill-1.jpg,teapot-hill-2.jpg
